run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_chpt_path,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_label_smoothing,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_classification_head_dropout,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_learning_rate,config_freeze_backbone,config_gradient_clip_val,config_token_aggregation_method,config_use_brainiac_preprocessing,metric_lr-SGD
7247349455.86387-30f21c23-7ee5,resenc_pretrained_20250716_073559,finished,2025-07-16T07:36:31Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_single_t1c/runs/7247349455.86387-30f21c23-7ee5,,edaf3f1a-6f08-4c6a-8681-f6d0ae5aaa74,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/EMDAE/Openmind/0711/Dataset005_OpenMind/BaseEMDAETrainer_BS48_90Mask_1000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,True,False,1,epochwise,0.2,0.999084770679474,0.9995911121368408,0.9891093969345092,0.9891093969345092,0.34005430340766907,0.8756097555160522,0.9019178152084352,0.7452055215835571,0.7516891956329346,0.5645583271980286,11857,1799.0,1752663249.454732,299.0,3.1471622649714703e-10,8999.0,,,,,,,
7247287207.02199-76048e87-8e96,resenc_pretrained_20250717_004443,failed,2025-07-17T00:45:14Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_single_t1c/runs/7247287207.02199-76048e87-8e96,,43effa7c-04cb-4020-9c39-9fec51ccc99c,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/EMDAE/Openmind/0711/Dataset005_OpenMind/BaseEMDAETrainer_BS48_90Mask_1000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,True,False,1,epochwise,0.2,,,,,,,,,,,153,0.0,1752713216.8754458,,4.761904761904763e-07,0.0,,,,,,,
7247272705.64560-fa6822da-553e,resenc_pretrained_20250717_044651,failed,2025-07-17T04:47:26Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_single_t1c/runs/7247272705.64560-fa6822da-553e,,3f7c4f88-1873-4e61-848e-0fe50cc455c8,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/EMDAE/Openmind/0711/Dataset005_OpenMind/BaseEMDAETrainer_BS48_90Mask_1000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,10,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,True,False,1,epochwise,0.2,,,,,,,,,,,153,0.0,1752727743.5985117,,4.761904761904763e-07,0.0,,,,,,,
7247271723.94749-c2aee054-84e0,resenc_pretrained_20250717_050321,finished,2025-07-17T05:03:58Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_single_t1c/runs/7247271723.94749-c2aee054-84e0,,e53de09a-6633-4ae7-89d2-dca4720470db,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/EMDAE/Openmind/0711/Dataset005_OpenMind/BaseEMDAETrainer_BS48_90Mask_1000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,True,False,1,epochwise,0.2,1.0,1.0,1.0,1.0,0.3349613547325134,0.8321495652198792,0.8331506252288818,0.7915068864822388,0.7801821231842041,0.5496572256088257,22658,1799.0,1752751293.5987408,299.0,3.1471622649714703e-10,11099.0,,,,,,,
7247102444.27812-61ae5c44-0508,resenc_pretrained_20250719_040806,finished,2025-07-19T04:08:42Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_single_t1c/runs/7247102444.27812-61ae5c44-0508,,0b97a279-796f-48ea-8e15-153225749c12,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/EMDAE/Openmind/0711/Dataset005_OpenMind/BaseEMDAETrainer_BS48_90Mask_1000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,True,False,1,epochwise,0.2,1.0,1.0,1.0,1.0,0.33489009737968445,0.8364927768707275,0.8435616493225098,0.7915068864822388,0.7801821231842041,0.5568097233772278,23195,1799.0,1752921314.2256012,299.0,3.1471622649714703e-10,11099.0,,,,,,,
7247099504.52412-d6cc415b-7024,brainiac_scratch_20250719_045746,failed,2025-07-19T04:58:10Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_single_t1c/runs/7247099504.52412-d6cc415b-7024,,03762ee0-ccee-400a-9594-05f27c909ac7,t-jiachentu,0.001,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,,3,SGD,16-mixed,CosineAnneal,False,0,24,,300,False,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,False,False,True,False,1,epochwise,0.0,,,,,,,,,,,119,0.0,1752901184.6658263,,,0.0,0.2,0.001,False,1.0,cls_token,True,0.001
7247098873.42021-a42f4eec-2f3b,resenc_pretrained_20250719_050957,finished,2025-07-19T05:10:28Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_single_t1c/runs/7247098873.42021-a42f4eec-2f3b,,496000ee-ec07-4307-b23d-958987a41ab2,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/EMDAE/Openmind/0711/Dataset005_OpenMind/BaseEMDAETrainer_BS48_90Mask_1000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,True,False,1,epochwise,0.2,1.0,1.0,1.0,1.0,0.3350623846054077,0.8507596850395203,0.8526027202606201,0.7789040803909302,0.7900899648666382,0.5282514691352844,22147,1799.0,1752923972.4044266,299.0,3.1471622649714703e-10,11099.0,,,,,,,
7247079549.96745-f63c32fa-f65c,brainiac_scratch_20250719_102905,finished,2025-07-19T10:29:35Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_single_t1c/runs/7247079549.96745-f63c32fa-f65c,,0a683a65-f3bd-4569-a688-8b6559ad903a,t-jiachentu,0.001,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,,3,SGD,16-mixed,CosineAnneal,False,0,10,,300,False,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,False,False,True,False,1,epochwise,0.0,0.7831100225448608,0.827349066734314,0.5438596606254578,0.5310268402099609,0.4618828594684601,0.7428174018859863,0.7515068054199219,0.5199999809265137,0.4678733050823212,0.5960344076156616,16230,1799.0,1752937205.6052222,299.0,,8999.0,0.2,0.001,False,1.0,cls_token,True,2.7415317243928465e-08
7247078894.38168-0aa1f63c-1fb2,resenc_pretrained_20250719_103640,finished,2025-07-19T10:37:13Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_single_t1c/runs/7247078894.38168-0aa1f63c-1fb2,,83bb0002-cd5e-44f9-b9e5-27ca1967a072,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/EMDAE/Openmind/0711/Dataset005_OpenMind/BaseEMDAETrainer_BS48_90Mask_1000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,True,False,1,epochwise,0.2,1.0,1.0,1.0,1.0,0.335347980260849,0.8821948766708374,0.8832876682281494,0.8726027011871338,0.8775510787963867,0.47459548711776733,22628,1799.0,1752944059.397136,299.0,3.1471622649714703e-10,11099.0,,,,,,,
7247036787.49165-2729a129-cadd,brainiac_scratch_20250719_221915,finished,2025-07-19T22:19:42Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_single_t1c/runs/7247036787.49165-2729a129-cadd,,fc90c125-4c5a-48ba-91d4-e49da50698c5,t-jiachentu,0.001,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,,3,SGD,16-mixed,CosineAnneal,False,0,10,,300,False,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,False,False,True,False,1,epochwise,0.0,0.7832366228103638,0.8276836276054382,0.5438596606254578,0.5310268402099609,0.4619758725166321,0.7432650327682495,0.7517808675765991,0.5199999809265137,0.4678733050823212,0.5960606336593628,16519,1799.0,1752980103.0541449,299.0,,8999.0,0.2,0.001,False,1.0,cls_token,True,2.7415317243928465e-08
7247036156.40599-dd093012-5053,resenc_pretrained_20250719_222858,finished,2025-07-19T22:29:30Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_single_t1c/runs/7247036156.40599-dd093012-5053,,2a6dbd88-05d2-4ec3-93c0-ce84952cf6ed,t-jiachentu,1e-05,False,0,Classification,300,False,ResEncoder_Classifier,300,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/EMDAE/Openmind/0711/Dataset005_OpenMind/BaseEMDAETrainer_BS48_90Mask_1000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3,AdamW,16-mixed,CosineAnneal,False,20,8,False,300,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,True,False,1,epochwise,0.2,1.0,1.0,1.0,1.0,0.33427518606185913,0.8634655475616455,0.8498630523681641,0.7920547723770142,0.795918345451355,0.518119215965271,22096,1799.0,1752986267.89212,299.0,3.1471622649714703e-10,11099.0,,,,,,,
7246994158.44649-314ea301-e4dd,brainiac_scratch_20250720_100947,finished,2025-07-20T10:10:14Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_single_t1c/runs/7246994158.44649-314ea301-e4dd,,4c13441d-5202-4cf5-acc7-e5a05bc8b073,t-jiachentu,0.001,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,,3,SGD,16-mixed,CosineAnneal,False,0,4,,300,False,True,0,gpu,0.2,2,16,val,False,4,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,False,False,True,False,1,epochwise,0.0,0.5551245212554932,0.6098721027374268,0.5,0.44612476229667664,0.5942987203598022,0.5164672136306763,0.5199999809265137,0.5,0.42690059542655945,0.9279791116714478,14611,1799.0,1753020826.4448912,299.0,,22199.0,0.2,0.0001,False,1.0,cls_token,True,2.7415317243928465e-08
7246993620.93600-5db9bb69-1c28,resenc_pretrained_20250720_101835,finished,2025-07-20T10:19:11Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_single_t1c/runs/7246993620.93600-5db9bb69-1c28,,cdb39b9e-6383-425d-ba06-e4ac52b8b33e,t-jiachentu,4.0,False,0,Classification,False,False,ResEncoder_Classifier,False,False,1,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3,AdamW,16-mixed,CosineAnneal,idh_classification,20,300,False,False,True,True,0,gpu,0.2,2,16,val,False,1,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.2,False,batchgenerators.get_training_transforms,10,False,False,True,False,1,epochwise,0.2,,,,,,,,,,,12,,,,,,,,,,,,
7246991337.73158-392eee81-05fd,brainiac_scratch_20250720_110207,failed,2025-07-20T11:02:50Z,https://microsoft-research.wandb.io/t-jiachentu/ucsf_pdgm_idh_single_t1c/runs/7246991337.73158-392eee81-05fd,,955c42dc-869a-4ba9-ba94-c10004f896da,t-jiachentu,0.001,False,0,Classification,300,False,brainiac,300,False,1,multiclass,False,auto,False,,3,SGD,16-mixed,CosineAnneal,0.0001,0,idh_classification,,300,False,True,0,gpu,0.2,2,16,val,False,4,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset003_UCSF_PDGM,False,1,False,0,True,False,full,0.1,False,batchgenerators.get_training_transforms,1,False,False,True,False,1,epochwise,0.0,,,,,,,,,,,9,,,,,,0.2,4.0,False,1.0,cls_token,True,
